Analysis Team,Disk Usage in GB,Number of files,Glance code
ANA-EXOT-2020-03_DisplacedTaus,1379,1444,
ANA-EXOT-2023-30_SUEP,0,0,
ANA-EXOT-2024-14_dEdx,66.849,364,
ANA-EXOT-2024-14_dEdx_backup,66.449,136,
ANA-EXOT-2024-19_multicharged,264.25,5986,ANA-EXOT-2024-19
ANA-EXOT-2024-21_DVMu,978.97,50845,ANA-EXOT-2024-21
ANA-EXOT-2024-22_DelayedJets,518.77,9584,ANA-EXOT-2024-22
ANA-EXOT-2024-23_CalRatio-top,0.026285,2,ANA-EXOT-2024-23
ANA-EXOT-2024-26_dEdxtracklets,126.01,224,ANA-EXOT-2024-26
ANA-EXOT-2025-03_MuSAVertex,341.53,785,
Total Sum,3741.9,69370,
