| * Analysis Team * | * Disk Usage in GB * | * Number of files * | * Glance code * |
| ANA-EXOT-2020-03_DisplacedTaus | 2825.5 | 2836 | ANA-EXOT-2020-03 |
| ANA-EXOT-2023-30_SUEP | 1939.6 | 1474 | ANA-EXOT-2023-30 |
| ANA-EXOT-2024-14_dEdx | 3653.9 | 38754 | ANA-EXOT-2024-14 |
| ANA-EXOT-2024-19_multicharged | 1077.6 | 7830 | ANA-EXOT-2024-19 |
| ANA-EXOT-2024-20_LowMassDVMu | 1857.9 | 2694 | ANA-EXOT-2024-20 |
| ANA-EXOT-2024-21_DVMu | 683.54 | 11110 | ANA-EXOT-2024-21 |
| ANA-EXOT-2024-22_DelayedJets | 2877.6 | 17613 | ANA-EXOT-2024-22 |
| ANA-EXOT-2024-23_CalRatio-top | 50.706 | 24 | ANA-EXOT-2024-23 |
| ANA-EXOT-2024-24_DisplacedTaus | 2672.2 | 1412 | ANA-EXOT-2024-24 |
| ANA-EXOT-2024-25_SMP | 535.72 | 48302 | ANA-EXOT-2024-25 |
| ANA-EXOT-2024-26_dEdxtracklets | 399.68 | 103005 | ANA-EXOT-2024-26 |
| ANA-EXOT-2025-03_MuSAVertex | 891.44 | 8967 | ANA-EXOT-2025-03 |
| ANA-EXOT-2025-08_LRSMdHNL | 495.73 | 12445 | ANA-EXOT-2025-08 |
| ANA-EXOT-2025-10_dHNL | 350.78 | 3289 | ANA-EXOT-2025-10 |
| ANA-EXOT-2025-24_MSVtxRun3 | 2614.9 | 12840 | ANA-EXOT-2025-24 |
| Total Sum | 22927 | 272595 |  |
<!-- This file was created automatically from reports/lup.csv. Do not edit it manually. -->
