Analysis Team,Disk Usage in GB,Number of files,Glance code
ANA-EXOT-2018-20_EJRun2,841.26,16841,ANA-EXOT-2018-20
ANA-EXOT-2022-12_dHNL,439.47,12796,ANA-EXOT-2022-12
ANA-EXOT-2022-31_EJRun3,3304.4,15146,ANA-EXOT-2022-31
ANA-EXOT-2023-04_A3LP,2610.2,4034,ANA-EXOT-2023-04
ANA-EXOT-2023-10_mavtop,8513.2,13955,ANA-EXOT-2023-10
ANA-EXOT-2023-31_dLJ,641.26,2397,ANA-EXOT-2023-31
ANA-EXOT-2024-07_VLLDarkPhoton,2014.7,18154,ANA-EXOT-2024-07
ANA-EXOT-2024-17_DJRun3,3605.7,3299,ANA-EXOT-2024-17
ANA-EXOT-2024-18_lowmassDimuDV,401.97,28568,ANA-EXOT-2024-18
HIP,4267.8,5448,ANA-EXOT-2019-33/ANA-EXOT-2024-30
HNL,37.181,788,ANA-EXOT-2019-29
SUEP,330.03,131275,ANA-EXOT-2018-56
VH4b,6.076,1073,ANA-EXOT-2021-32
Total Sum,27013,253774,
